Produkt - Produkt,Kassationsårsag (ui),Stk. tøj per kassationsdato,Dage i cirkulation,Total antal vask,Unik Kode (ui),Måned,Vask per måned,Kategori
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,1270,57,30155C97D461A7C001EAC318,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3662047244094488,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,398,15,30155C97D461A6C0015B5461,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1472361809045226,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,1378,70,30155C97D461A7C001EAC391,"PLC, Product detaljeret, Aarhus, Aug. 2023.xlsx",1.5462989840348331,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,1313,70,30155C97D461A7C002114941,"PLC, Product detaljeret, Aarhus, Aug. 2023.xlsx",1.622848438690023,Polo
10597 Poloshirt pique da m.blå bom,Bortkommet med restværdi,1,731,40,30155C97D461A6C000B9ADF4,"PLC, Product detaljeret, Aarhus, Aug. 2023.xlsx",1.6656634746922026,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,1511,89,30155C97D461A7C0020F149D,"PLC, Product detaljeret, Aarhus, Dec. 2023.xlsx",1.7929583057577763,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,1511,89,30155C97D461A7C0020F1502,"PLC, Product detaljeret, Aarhus, Dec. 2023.xlsx",1.7929583057577763,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,1511,96,30155C97D461A7C0020F1593,"PLC, Product detaljeret, Aarhus, Dec. 2023.xlsx",1.9339774983454665,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,1511,89,30155C97D461A7C0020F1ACE,"PLC, Product detaljeret, Aarhus, Dec. 2023.xlsx",1.7929583057577763,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,407,21,30155C97D461A6C0015C41D1,"PLC, Product detaljeret, Aarhus, Dec. 2023.xlsx",1.5706142506142506,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,949,45,30155C97D461A7C00269416F,"PLC, Product detaljeret, Aarhus, Feb. 2023.xlsx",1.4434141201264488,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,671,34,30155C97D461A6C0002FF333,"PLC, Product detaljeret, Aarhus, Feb. 2023.xlsx",1.542414307004471,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,615,23,30155C97D461A6C000B9C1CF,"PLC, Product detaljeret, Aarhus, Feb. 2023.xlsx",1.1384065040650406,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,615,28,30155C97D461A6C000B9C300,"PLC, Product detaljeret, Aarhus, Feb. 2023.xlsx",1.3858861788617889,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,328,20,30155C97D461A6C0012E94B5,"PLC, Product detaljeret, Aarhus, Feb. 2023.xlsx",1.8560975609756099,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,328,15,30155C97D461A6C0012E9558,"PLC, Product detaljeret, Aarhus, Feb. 2023.xlsx",1.3920731707317073,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,328,17,30155C97D461A6C0012E95B7,"PLC, Product detaljeret, Aarhus, Feb. 2023.xlsx",1.5776829268292683,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,307,19,30155C97D461A6C000640FEA,"PLC, Product detaljeret, Aarhus, Feb. 2023.xlsx",1.8839087947882738,Polo
10596 Poloshirt pique uni m.blå b,Alm.slid uden restværdi,1,124,5,30155C97D461A4C000E98B27,"PLC, Product detaljeret, Aarhus, Feb. 2023.xlsx",1.2274193548387098,Polo
10596 Poloshirt pique uni m.blå b,Alm.slid uden restværdi,1,124,5,30155C97D461A4C000E98C0E,"PLC, Product detaljeret, Aarhus, Feb. 2023.xlsx",1.2274193548387098,Polo
10596 Poloshirt pique uni m.blå b,Bortkommet med restværdi,1,311,17,30155C97D461A6C0008D103E,"PLC, Product detaljeret, Aarhus, Jan. 2023.xlsx",1.6639228295819937,Polo
10596 Poloshirt pique uni m.blå b,Alm.slid uden restværdi,1,99,4,30155C97D461A4C000E98B4C,"PLC, Product detaljeret, Aarhus, Jan. 2023.xlsx",1.22989898989899,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,1337,78,30155C97D461A7C00211405F,"PLC, Product detaljeret, Aarhus, Jul. 2023.xlsx",1.7758563949139867,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,1337,65,30155C97D461A7C00211417C,"PLC, Product detaljeret, Aarhus, Jul. 2023.xlsx",1.4798803290949887,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,658,28,30155C97D461A6C000B9AE78,"PLC, Product detaljeret, Aarhus, Jun. 2023.xlsx",1.2953191489361702,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,652,33,30155C97D461A6C000B9AF98,"PLC, Product detaljeret, Aarhus, Jun. 2023.xlsx",1.540674846625767,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,648,33,30155C97D461A6C000B9ADFA,"PLC, Product detaljeret, Aarhus, Jun. 2023.xlsx",1.550185185185185,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,508,18,30155C97D461A6C0015C497F,"PLC, Product detaljeret, Aarhus, Jun. 2023.xlsx",1.0785826771653544,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,1202,51,30155C97D461A7C0020F1B6B,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",1.2915474209650581,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,1202,46,30155C97D461A7C002118E54,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",1.1649251247920134,Polo
10596 Poloshirt pique uni m.blå b,Alm.slid uden restværdi,1,1122,62,30155C97D461A7C0023BDD07,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",1.6820677361853833,Polo
10596 Poloshirt pique uni m.blå b,Alm.slid uden restværdi,1,1059,66,30155C97D461A7C0023C9D76,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",1.8971104815864022,Polo
10596 Poloshirt pique uni m.blå b,Alm.slid uden restværdi,1,1045,68,30155C97D461A7C0023C9EA1,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",1.9807846889952152,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,880,35,30155C97D461A6C0000F1A65,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",1.2106818181818182,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,567,35,30155C97D461A6C0005CED8C,"PLC, Product detaljeret, Aarhus, Nov. 2023.xlsx",1.8790123456790124,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,1052,67,30155C97D461A6C00012B52D,"PLC, Product detaljeret, Aarhus, Okt. 2023.xlsx",1.9386692015209128,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,1052,61,30155C97D461A6C00012B606,"PLC, Product detaljeret, Aarhus, Okt. 2023.xlsx",1.7650570342205325,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,1052,54,30155C97D461A6C00012B627,"PLC, Product detaljeret, Aarhus, Okt. 2023.xlsx",1.5625095057034222,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,1044,38,30155C97D461A6C00012B6C8,"PLC, Product detaljeret, Aarhus, Okt. 2023.xlsx",1.1079693486590039,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,521,33,30155C97D461A6C0005CEDBF,"PLC, Product detaljeret, Aarhus, Okt. 2023.xlsx",1.9280614203454893,Polo
