Produkt - Produkt,Kassationsårsag (ui),Stk. tøj per kassationsdato,Dage i cirkulation,Total antal vask,Unik Kode (ui),Måned,Vask per måned,Kategori
10988 Poloshirt Hvid Prowear,BTS fejl uden restværdi,1,29,1,30155C97D461A7C0023C5232,"PLC, Product detaljeret, Aarhus, Sep. 2023.xlsx",1.049655172413793,Polo
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2864,101,00D0095A4FF9,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.073477653631285,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2860,110,00D008FC4146,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1707692307692308,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2859,105,00D009164808,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1179433368310598,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2777,105,00D00955808E,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1509542671948145,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2775,94,00D0095B52B3,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0311207207207207,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2774,101,00D009250DE8,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1083056957462147,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2774,94,00D00941028C,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.031492429704398,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2771,93,00D0095B5687,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0216239624684231,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2758,97,00D00930E607,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0705873821609861,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2758,109,00D00979088E,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2030311820159538,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2750,92,00D0097904EA,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0183563636363635,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2749,111,00D009510D99,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2291160421971625,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,2728,119,00D009520622,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3278445747800587,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2715,101,00D009275AA6,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.132390423572744,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2713,96,00D009326B32,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0771249539255439,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligeholdt pga blæk,1,2712,108,00D00978E957,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.212212389380531,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2707,106,00D00932A3C1,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.191961581086073,T-shirt
