Produkt - Produkt,Kassationsårsag (ui),Stk. tøj per kassationsdato,Dage i cirkulation,Total antal vask,Unik Kode (ui),Måned,Vask per måned,Kategori
01427 T-shirt unisex lyseblå pb,BTS fejl uden restværdi,1,2321,109,30155C97D461A7C0005BEFA4,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.4295389918138734,T-shirt
01427 T-shirt unisex lyseblå pb,Alm.slid uden restværdi,1,2009,67,300ED89F3350007FE266A93D,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0151717272274763,T-shirt
13658 T-shirt dame lyseblå Prowear,Alm.slid uden restværdi,1,2009,75,300ED89F335000400183CD13,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.136386261821802,T-shirt
13658 T-shirt dame lyseblå Prowear,Alm.slid uden restværdi,1,2009,110,300ED89F335000400183CFF5,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.6666998506719761,T-shirt
13658 T-shirt dame lyseblå Prowear,Bortkommet med restværdi,1,2009,73,300ED89F335000400183D3FF,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1060826281732206,T-shirt
13658 T-shirt dame lyseblå Prowear,Alm.slid uden restværdi,1,2005,78,300ED89F335000400183D9B7,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.184199501246883,T-shirt
13658 T-shirt dame lyseblå Prowear,Alm.slid uden restværdi,1,2004,120,300ED89F335000400183AD9D,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.822754491017964,T-shirt
13658 T-shirt dame lyseblå Prowear,Bortkommet med restværdi,1,2004,105,300ED89F335000400183C993,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.5949101796407186,T-shirt
13658 T-shirt dame lyseblå Prowear,Bortkommet med restværdi,1,2004,100,300ED89F335000400183CDB1,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.5189620758483036,T-shirt
13658 T-shirt dame lyseblå Prowear,Bortkommet med restværdi,1,2004,90,300ED89F335000400183D218,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.367065868263473,T-shirt
13658 T-shirt dame lyseblå Prowear,Bortkommet med restværdi,1,2004,82,300ED89F335000400183D790,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2455489021956088,T-shirt
01427 T-shirt unisex lyseblå pb,Bortkommet med restværdi,1,1994,103,300ED89F3350007FE267DC6B,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.5723771313941826,T-shirt
13658 T-shirt dame lyseblå Prowear,Bortkommet med restværdi,1,1994,102,300ED89F335000400183CCBF,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.557111334002006,T-shirt
13658 T-shirt dame lyseblå Prowear,Bortkommet med restværdi,1,1989,80,300ED89F335000400183AE30,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.224333836098542,T-shirt
13658 T-shirt dame lyseblå Prowear,Bortkommet med restværdi,1,1953,68,300ED89F3350007FE2678E6C,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0598668714797748,T-shirt
01427 T-shirt unisex lyseblå pb,Bortkommet med restværdi,1,1903,76,300ED89F33500060009D8E99,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2156805044666317,T-shirt
01427 T-shirt unisex lyseblå pb,Alm.slid uden restværdi,1,1866,78,300ED89F3350007FE267DC2A,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.272411575562701,T-shirt
01427 T-shirt unisex lyseblå pb,Alm.slid uden restværdi,1,1766,87,30155C97D461A7C0011869EA,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.4995922989807475,T-shirt
01427 T-shirt unisex lyseblå pb,Alm.slid uden restværdi,1,1592,85,30155C97D461A7C0013C940F,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.6252512562814072,T-shirt
01427 T-shirt unisex lyseblå pb,BTS fejl uden restværdi,1,1344,58,30155C97D461A7C002115433,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3136309523809524,T-shirt
01427 T-shirt unisex lyseblå pb,BTS fejl uden restværdi,1,1232,49,30155C97D461A7C00229F6DA,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2106818181818182,T-shirt
26056 T-shirt k/æ dame lyseblå,Alm.slid uden restværdi,1,1227,79,30155C97D461A7C0008A64D3,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.959869600651997,T-shirt
26056 T-shirt k/æ dame lyseblå,Alm.slid uden restværdi,1,1227,58,30155C97D461A7C001EF6FE6,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.4388916055419725,T-shirt
26056 T-shirt k/æ dame lyseblå,Alm.slid uden restværdi,1,1225,80,30155C97D461A7C0008A6491,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.987918367346939,T-shirt
26056 T-shirt k/æ dame lyseblå,Alm.slid uden restværdi,1,1215,68,30155C97D461A7C0008A648F,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.7036378600823046,T-shirt
26056 T-shirt k/æ dame lyseblå,Bortkommet med restværdi,1,1208,75,30155C97D461A7C0006A9C9E,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.8899006622516556,T-shirt
01427 T-shirt unisex lyseblå pb,BTS fejl uden restværdi,1,1112,64,30155C97D461A7C002301CD1,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.7519424460431656,T-shirt
01427 T-shirt unisex lyseblå pb,BTS fejl uden restværdi,1,1069,57,30155C97D461A7C0023C4DA4,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.623086997193639,T-shirt
01427 T-shirt unisex lyseblå pb,BTS fejl uden restværdi,1,1069,56,30155C97D461A7C0023C4EB7,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.5946117867165577,T-shirt
01427 T-shirt unisex lyseblå pb,BTS fejl uden restværdi,1,1061,55,30155C97D461A7C0023B68A9,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.5779453345900096,T-shirt
13658 T-shirt dame lyseblå Prowear,Alm.slid uden restværdi,1,959,46,30155C97D461A7C002952002,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.460104275286757,T-shirt
13658 T-shirt dame lyseblå Prowear,Alm.slid uden restværdi,1,958,53,30155C97D461A7C0029520AE,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.6840501043841338,T-shirt
13658 T-shirt dame lyseblå Prowear,Bortkommet med restværdi,1,898,36,30155C97D461A6C0000E7919,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2203118040089087,T-shirt
13658 T-shirt dame lyseblå Prowear,Alm.slid uden restværdi,1,877,51,30155C97D461A6C00035AFAB,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.7701710376282782,T-shirt
26055 T-shirt 1/2 ærme da lyseblå,Bortkommet med restværdi,1,821,45,30155C97D461A7C00214C07F,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.6684531059683314,T-shirt
13658 T-shirt dame lyseblå Prowear,Udgået Model,1,819,36,30155C97D461A6C0001739FC,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3380219780219782,T-shirt
13658 T-shirt dame lyseblå Prowear,Bortkommet med restværdi,1,814,31,30155C97D461A6C000142ECD,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1592628992628995,T-shirt
13658 T-shirt dame lyseblå Prowear,Alm.slid uden restværdi,1,811,27,30155C97D461A6C000127689,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.013415536374846,T-shirt
13658 T-shirt dame lyseblå Prowear,Alm.slid uden restværdi,1,804,28,30155C97D461A6C0001431E5,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0600995024875624,T-shirt
13658 T-shirt dame lyseblå Prowear,Bortkommet med restværdi,1,795,30,30155C97D461A6C0001B7BB6,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1486792452830188,T-shirt
13658 T-shirt dame lyseblå Prowear,Alm.slid uden restværdi,1,775,38,30155C97D461A6C0001B29E9,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.4925419354838712,T-shirt
13658 T-shirt dame lyseblå Prowear,Alm.slid uden restværdi,1,751,39,30155C97D461A6C000143058,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.5807723035952066,T-shirt
13658 T-shirt dame lyseblå Prowear,Alm.slid uden restværdi,1,741,40,30155C97D461A6C000817664,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.6431848852901485,T-shirt
13658 T-shirt dame lyseblå Prowear,Ødelagt af lommefyld uden restværdi,1,673,34,30155C97D461A6C00039E520,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.5378306092124816,T-shirt
26055 T-shirt 1/2 ærme da lyseblå,Alm.slid uden restværdi,1,651,40,30155C97D461A7C00214BF69,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.8703533026113672,T-shirt
13658 T-shirt dame lyseblå Prowear,Alm.slid uden restværdi,1,618,27,30155C97D461A6C000842AB4,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3299029126213593,T-shirt
26057 T-shirt k/æ uni lyseblå,Udgået Model,1,604,30,30155C97D461A7C002697C6D,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.5119205298013245,T-shirt
01427 T-shirt unisex lyseblå pb,Misligholdt med restværdi,1,579,26,30155C97D461A6C000843D5C,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3669084628670123,T-shirt
13658 T-shirt dame lyseblå Prowear,Alm.slid uden restværdi,1,570,21,30155C97D461A6C0008181E9,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1214736842105262,T-shirt
13658 T-shirt dame lyseblå Prowear,Bortkommet med restværdi,1,569,20,30155C97D461A6C0007207F8,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0699472759226716,T-shirt
13658 T-shirt dame lyseblå Prowear,Bortkommet med restværdi,1,569,22,30155C97D461A6C0007208F9,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1769420035149385,T-shirt
01427 T-shirt unisex lyseblå pb,BTS fejl uden restværdi,1,558,24,30155C97D461A6C0015854FF,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.309247311827957,T-shirt
13658 T-shirt dame lyseblå Prowear,Alm.slid uden restværdi,1,538,35,30155C97D461A6C00084220A,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.9802973977695169,T-shirt
26056 T-shirt k/æ dame lyseblå,Alm.slid uden restværdi,1,451,22,30155C97D461A6C00084FF0F,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.484878048780488,T-shirt
13658 T-shirt dame lyseblå Prowear,Alm.slid uden restværdi,1,404,20,30155C97D461A6C000D8659D,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.5069306930693072,T-shirt
13658 T-shirt dame lyseblå Prowear,Alm.slid uden restværdi,1,399,15,30155C97D461A6C0008BF883,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1443609022556391,T-shirt
26057 T-shirt k/æ uni lyseblå,Bortkommet med restværdi,1,364,21,30155C97D461A6C00084FFF7,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.7561538461538464,T-shirt
13658 T-shirt dame lyseblå Prowear,Alm.slid uden restværdi,1,344,16,30155C97D461A4C0009224D9,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.415813953488372,T-shirt
13658 T-shirt dame lyseblå Prowear,Bortkommet med restværdi,1,335,14,30155C97D461A4C00092B4AA,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2721194029850746,T-shirt
01427 T-shirt unisex lyseblå pb,BTS fejl uden restværdi,1,334,13,30155C97D461A4C00064BE85,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1847904191616767,T-shirt
01427 T-shirt unisex lyseblå pb,BTS fejl uden restværdi,1,334,14,30155C97D461A4C00064BF8D,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.275928143712575,T-shirt
13658 T-shirt dame lyseblå Prowear,Alm.slid uden restværdi,1,313,14,30155C97D461A6C000647CFB,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3615335463258786,T-shirt
13658 T-shirt dame lyseblå Prowear,Alm.slid uden restværdi,1,295,11,30155C97D461A6C0009E871E,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1350508474576273,T-shirt
13658 T-shirt dame lyseblå Prowear,Alm.slid uden restværdi,1,258,10,30155C97D461A4C0009391AE,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1798449612403101,T-shirt
13658 T-shirt dame lyseblå Prowear,Alm.slid uden restværdi,1,238,8,30155C97D461A6C001861276,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0231932773109245,T-shirt
