Produkt - Produkt,Kassationsårsag (ui),Stk. tøj per kassationsdato,Dage i cirkulation,Total antal vask,Unik Kode (ui),Måned,Vask per måned,Kategori
10989 Poloshirt Sort Prowear,Bortkommet med restværdi,1,1022,37,30155C97D461A7C0023CC541,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1020352250489236,Polo
10989 Poloshirt Sort Prowear,Misligholdt med restværdi,1,267,9,30155C97D461A6C000EAD3E1,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.026067415730337,Polo
10989 Poloshirt Sort Prowear,Misligholdt med restværdi,1,267,10,30155C97D461A6C000EAD3E8,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1400749063670412,Polo
10989 Poloshirt Sort Prowear,Misligholdt med restværdi,1,267,12,30155C97D461A6C000EAD400,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3680898876404495,Polo
10989 Poloshirt Sort Prowear,Misligholdt med restværdi,1,267,11,30155C97D461A6C000EAD459,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2540823970037454,Polo
10989 Poloshirt Sort Prowear,Alm.slid uden restværdi,1,1679,62,30155C97D461A7C001561873,"PLC, Product detaljeret, Aarhus, Aug. 2023.xlsx",1.1240500297796308,Polo
10989 Poloshirt Sort Prowear,Bortkommet med restværdi,1,1567,79,30155C97D461A7C001F70F82,"PLC, Product detaljeret, Aarhus, Dec. 2023.xlsx",1.5346266751754947,Polo
12609 Poloshirt pique stretch sort,Misligholdt med restværdi,1,635,29,00D00B8EEBF2,"PLC, Product detaljeret, Aarhus, Dec. 2023.xlsx",1.3901732283464567,Polo
12609 Poloshirt pique stretch sort,Misligholdt med restværdi,1,635,24,00D00B8EFBE3,"PLC, Product detaljeret, Aarhus, Dec. 2023.xlsx",1.150488188976378,Polo
10989 Poloshirt Sort Prowear,Alm.slid uden restværdi,1,624,28,30155C97D461A6C00063F5F5,"PLC, Product detaljeret, Aarhus, Dec. 2023.xlsx",1.365897435897436,Polo
12609 Poloshirt pique stretch sort,Misligholdt med restværdi,1,608,33,00D00B8EF2CC,"PLC, Product detaljeret, Aarhus, Dec. 2023.xlsx",1.6521710526315792,Polo
12609 Poloshirt pique stretch sort,Misligholdt med restværdi,1,608,24,00D00B8EFA48,"PLC, Product detaljeret, Aarhus, Dec. 2023.xlsx",1.201578947368421,Polo
12609 Poloshirt pique stretch sort,Misligholdt med restværdi,1,604,27,00D00B8EB1C5,"PLC, Product detaljeret, Aarhus, Dec. 2023.xlsx",1.360728476821192,Polo
12609 Poloshirt pique stretch sort,Misligholdt med restværdi,1,532,25,00D00B8EA204,"PLC, Product detaljeret, Aarhus, Dec. 2023.xlsx",1.4304511278195489,Polo
12609 Poloshirt pique stretch sort,Misligholdt med restværdi,1,532,25,00D00B8EF0C5,"PLC, Product detaljeret, Aarhus, Dec. 2023.xlsx",1.4304511278195489,Polo
12609 Poloshirt pique stretch sort,Misligholdt med restværdi,1,383,18,00D00B8B6ACD,"PLC, Product detaljeret, Aarhus, Dec. 2023.xlsx",1.4306005221932114,Polo
10980 Poloshirt pro dame sort pb,Misligholdt med restværdi,1,213,13,30155C97D461A7C00228F2C8,"PLC, Product detaljeret, Aarhus, Dec. 2023.xlsx",1.8578403755868544,Polo
10989 Poloshirt Sort Prowear,Udgået Model,1,1385,69,30155C97D461A7C000495542,"PLC, Product detaljeret, Aarhus, Feb. 2023.xlsx",1.5165054151624549,Polo
10989 Poloshirt Sort Prowear,Udgået Model,1,976,51,30155C97D461A7C0023CC57E,"PLC, Product detaljeret, Aarhus, Feb. 2023.xlsx",1.5906147540983608,Polo
10989 Poloshirt Sort Prowear,Udgået Model,1,908,42,30155C97D461A7C0023CC4E6,"PLC, Product detaljeret, Aarhus, Feb. 2023.xlsx",1.4080176211453745,Polo
10989 Poloshirt Sort Prowear,Udgået Model,1,908,43,30155C97D461A7C0023CC4FE,"PLC, Product detaljeret, Aarhus, Feb. 2023.xlsx",1.4415418502202644,Polo
10989 Poloshirt Sort Prowear,Udgået Model,1,798,42,30155C97D461A7C0023CC58F,"PLC, Product detaljeret, Aarhus, Feb. 2023.xlsx",1.6021052631578947,Polo
10989 Poloshirt Sort Prowear,Udgået Model,1,80,4,30155C97D461A6C000305A98,"PLC, Product detaljeret, Aarhus, Feb. 2023.xlsx",1.5220000000000002,Polo
10980 Poloshirt pro dame sort pb,Alm.slid uden restværdi,1,191,9,30155C97D461A7C001F6FCB7,"PLC, Product detaljeret, Aarhus, Jan. 2023.xlsx",1.43434554973822,Polo
10980 Poloshirt pro dame sort pb,Alm.slid uden restværdi,1,139,5,30155C97D461A6C0004A26B5,"PLC, Product detaljeret, Aarhus, Jan. 2023.xlsx",1.0949640287769784,Polo
10989 Poloshirt Sort Prowear,Alm.slid uden restværdi,1,1641,104,30155C97D461A7C001561887,"PLC, Product detaljeret, Aarhus, Jul. 2023.xlsx",1.9291651432053625,Polo
