Produkt - Produkt,Kassationsårsag (ui),Stk. tøj per kassationsdato,Dage i cirkulation,Total antal vask,Unik Kode (ui),Måned,Vask per måned,Kategori
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2860,110,00D008FC4146,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1707692307692308,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2758,97,00D00930E607,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0705873821609861,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2758,109,00D00979088E,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2030311820159538,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2749,111,00D009510D99,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2291160421971625,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,2728,119,00D009520622,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3278445747800587,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2715,101,00D009275AA6,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.132390423572744,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2694,104,00D0095245F6,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1751150705270972,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2687,99,00D00926FE98,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1215333085225159,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2687,112,00D0095ADF95,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2688053591365835,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2660,116,00D009511359,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3274586466165414,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2659,96,00D0094F9B9C,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0989996239187665,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2647,108,00D00951708D,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2419795995466567,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2627,90,00D009168E1B,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.04286258089075,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,2583,97,00D00972C6CB,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1431204026325978,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2577,98,00D0095A5A22,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1575941016686069,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,2570,55,00D009705B4F,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.6514396887159534,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2570,103,00D009415229,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.219968871595331,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2567,110,00D0095B3C63,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3044020257109468,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,2565,102,00D00952CB7F,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.210479532163743,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2561,78,00D007BF348A,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.9271065989847717,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,2555,75,00D009706309,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.8935420743639921,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,2525,100,00D00972FE4A,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2055445544554455,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2448,111,00D007BADDD7,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3802450980392158,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2435,82,00D009113BCA,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0250841889117044,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2416,97,00D009701F96,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.222135761589404,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2407,116,00D009705D11,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.466987951807229,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2389,100,00D0097086A9,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2741732942653832,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2293,94,00D0097833AC,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2478674225904929,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2234,109,00D009706668,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.4852103849597136,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2228,21,30155C97D461A7C000640810,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.2869120287253142,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2228,29,30155C97D461A7C000755DBD,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.39621184919210056,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2218,104,00D0098EB23C,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.4273038773669975,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2212,112,00D009703533,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.5412658227848102,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2211,100,00D0099722CA,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3767526006331978,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2206,109,00D009279776,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.504061650045331,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2205,69,00D009989440,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.952544217687075,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2201,105,00D0098EA08F,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.452158109950023,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2198,101,00D009AC8C4A,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.398744313011829,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,2191,126,30155C97D461A7C000685704,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.7505431309904154,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2184,96,00D0098E9DCD,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3380219780219782,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2184,110,30155C97D461A7C0007D22FE,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.5331501831501833,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2183,88,30155C97D461A7C00092EC3F,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2270819972514888,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2176,103,30155C97D461A7C0007D14C9,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.4408639705882353,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2176,84,30155C97D461A7C0007D15CA,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.175073529411765,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2176,90,30155C97D461A7C0007D2023,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2590073529411765,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2176,77,30155C97D461A7C0007D2054,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0771507352941176,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2176,92,30155C97D461A7C000933A6B,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2869852941176472,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2170,93,00D00970C899,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3045714285714287,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2169,87,30155C97D461A7C000932E68,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2209681881051178,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2162,110,30155C97D461A7C000B6339A,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.5487511563367253,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,2158,127,30155C97D461A7C000B5CDB8,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.7914179796107508,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,2158,121,30155C97D461A7C000B5CE1E,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.7067840593141799,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,2158,130,30155C97D461A7C000B5CE7C,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.8337349397590361,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2154,98,30155C97D461A7C000B6335E,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.384921077065924,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2144,79,30155C97D461A7C0007D203F,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1216231343283583,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2144,102,30155C97D461A7C0007D28B9,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.4481716417910449,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2136,95,30155C97D461A7C000B642EC,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3538389513108615,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2134,93,30155C97D461A7C0008579F6,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3265791940018745,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2132,95,00D0097A1589,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.356378986866792,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2126,93,00D00976F192,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3315710253998119,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2126,77,00D0097FF540,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.102483537158984,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2126,78,30155C97D461A7C0008573ED,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1168015051740356,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2126,82,30155C97D461A7C000857B1A,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1740733772342429,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2122,87,30155C97D461A7C000B990AE,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2480113100848256,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2121,90,30155C97D461A7C0007D14B7,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2916548797736918,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2121,91,30155C97D461A7C000B990B4,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3060066006600661,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,2105,83,30155C97D461A7C000B10EF1,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2002470308788598,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2104,114,30155C97D461A7C0007D2934,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.6493155893536122,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2104,98,30155C97D461A7C000A11B45,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.417832699619772,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2104,94,30155C97D461A7C000A134B5,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3599619771863118,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2104,109,30155C97D461A7C000B99107,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.5769771863117872,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2104,105,30155C97D461A7C000B9917B,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.5191064638783272,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2092,88,30155C97D461A7C000B1109E,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2804588910133845,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2072,82,30155C97D461A7C00092E60C,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2046718146718147,T-shirt
