Produkt - Produkt,Kassationsårsag (ui),Stk. tøj per kassationsdato,Dage i cirkulation,Total antal vask,Unik Kode (ui),Måned,Vask per måned,Kategori
11606 Polo t-shirt dame lysblå pro,Alm.slid uden restværdi,1,1626,43,30155C97D461A7C00166E847,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.8049938499384994,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,1270,57,30155C97D461A7C001EAC318,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3662047244094488,Polo
10597 Poloshirt pique da m.blå bom,Alm.slid uden restværdi,1,1270,84,30155C97D461A7C0020F1BA8,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",2.0133543307086614,Polo
10596 Poloshirt pique uni m.blå b,Alm.slid uden restværdi,1,1259,38,30155C97D461A7C0020F1B77,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.9187609213661637,Polo
10596 Poloshirt pique uni m.blå b,Alm.slid uden restværdi,1,1259,19,30155C97D461A7C0020F1C33,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.45938046068308186,Polo
10596 Poloshirt pique uni m.blå b,Alm.slid uden restværdi,1,1259,31,30155C97D461A7C002118EFD,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.7495154884829229,Polo
10596 Poloshirt pique uni m.blå b,Alm.slid uden restværdi,1,1259,29,30155C97D461A7C002118F18,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.7011596505162827,Polo
10596 Poloshirt pique uni m.blå b,Alm.slid uden restværdi,1,1259,18,30155C97D461A7C002118F60,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.43520254169976175,Polo
11606 Polo t-shirt dame lysblå pro,Alm.slid uden restværdi,1,1055,94,30155C97D461A7C0023C4E03,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",2.7121895734597157,Polo
11606 Polo t-shirt dame lysblå pro,Alm.slid uden restværdi,1,727,67,30155C97D461A6C0008176AA,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",2.805337001375516,Polo
11606 Polo t-shirt dame lysblå pro,Alm.slid uden restværdi,1,668,47,30155C97D461A6C000B04D7D,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",2.141736526946108,Polo
11606 Polo t-shirt dame lysblå pro,Alm.slid uden restværdi,1,500,23,30155C97D461A6C00105C5CC,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.40024,Polo
11606 Polo t-shirt dame lysblå pro,Alm.slid uden restværdi,1,500,24,30155C97D461A6C00105C5E6,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.4611200000000002,Polo
