Produkt - Produkt,Kassationsårsag (ui),Stk. tøj per kassationsdato,Dage i cirkulation,Total antal vask,Unik Kode (ui),Måned,Vask per måned,Kategori
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2200,82,00D0098EA09C,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1345818181818181,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2199,90,00D009AB6251,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2458390177353345,T-shirt
13976 T-shirt l.ærme m Arla logo,Misligholdt med restværdi,1,2199,48,30155C97D461A7C0007285F4,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.6644474761255116,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2198,101,00D009AC8C4A,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.398744313011829,T-shirt
03885 T-Shirt Lysblå Lady K/Æ P/B,Bortkommet med restværdi,1,2197,44,00D00979DBDE,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.609631315430132,T-shirt
10690 Kit Best Practice k/æ hv pb,Alm.slid uden restværdi,1,2196,109,30155C97D461A7C000CE9D1C,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.5109107468123864,Kittel
22698 Forklæde charcoal m/smæk,Bortkommet med restværdi,1,2195,86,30155C97D461A7C0008AB8B7,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1926378132118451,Forklæde
13310 Kokkejak hv/so piptrkkn L/Æ CC,Misligholdt med restværdi,1,2194,76,00D00901907B,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0544393801276208,Kokkejakke
03982 Jakke hyg kina 2 indv lom,BTS fejl uden restværdi,1,2192,93,00D00A5BDAAB,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.291478102189781,Jakke
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2192,79,00D009986694,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0970620437956204,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,2191,126,30155C97D461A7C000685704,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.7505431309904154,T-shirt
01589 T-shirt unisex mblå k/æ,Alm.slid uden restværdi,1,2191,84,00D009993D64,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1670287539936102,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2191,101,30155C97D461A7C0007D15DE,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.4032131446827933,T-shirt
13820 Halvbusseronne dame Sky,Alm.slid uden restværdi,1,2190,80,00D009ADFED1,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1119634703196346,Busseron
12143 Pull on let buks opsmøg mblå,Alm.slid uden restværdi,1,2188,113,30155C97D461A7C00027B9C0,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.5720840950639854,Bukser
02304 Benkl. Unisex U/Lår lom Hvpb,Misligholdt med restværdi,1,2186,175,30155C97D461A7C0009A5763,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",2.436870997255261,Bukser
11977 Benkl smøg op uni mlå pb,BTS fejl uden restværdi,1,2185,30,30155C97D461A7C0007060E1,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.4179405034324943,Bukser
14152 Benkl m/lom hvid low risk,BTS fejl uden restværdi,1,2185,7,30155C97D461A7C00087BBF7,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.09751945080091533,Bukser
01085 T-Shirt Gråmelange p/b,Misligholdt med restværdi,1,2184,48,00D00A43D056,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.6690109890109891,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2184,96,00D0098E9DCD,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3380219780219782,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2184,110,30155C97D461A7C0007D22FE,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.5331501831501833,T-shirt
11977 Benkl smøg op uni mlå pb,Alm.slid uden restværdi,1,2184,99,30155C97D461A7C00043E86C,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3798351648351648,Bukser
13976 T-shirt l.ærme m Arla logo,Alm.slid uden restværdi,1,2184,135,30155C97D461A7C0008B100B,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.8815934065934068,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2183,88,30155C97D461A7C00092EC3F,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2270819972514888,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2180,114,00D009AD1D2F,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.5918165137614682,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2180,102,30155C97D461A7C000932B5A,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.424256880733945,T-shirt
13818 Busseronne uni Sky,Alm.slid uden restværdi,1,2180,50,00D009780F5A,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.698165137614679,Busseron
08227 T-Shirt Marine Lady K/Æ P/B,Alm.slid uden restværdi,1,2179,101,30155C97D461A7C00092F5A4,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.4109407985314366,T-shirt
14014 Kokkejakke hvid  MENY,Misligholdt med restværdi,1,2179,87,00D00A352790,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2153648462597522,Kokkejakke
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2178,76,30155C97D461A7C00092F45C,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0621854912764006,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2177,92,30155C97D461A7C0007D14C4,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2863941203491043,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2177,82,30155C97D461A7C000932BC2,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1465686724850712,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2176,103,30155C97D461A7C0007D14C9,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.4408639705882353,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2176,84,30155C97D461A7C0007D15CA,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.175073529411765,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2176,90,30155C97D461A7C0007D2023,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2590073529411765,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2176,77,30155C97D461A7C0007D2054,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0771507352941176,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2176,92,30155C97D461A7C000933A6B,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2869852941176472,T-shirt
08227 T-Shirt Marine Lady K/Æ P/B,Alm.slid uden restværdi,1,2172,39,30155C97D461A7C0005E65C0,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.5465745856353591,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2172,86,00D00998CBAA,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2052670349907921,T-shirt
