Produkt - Produkt,Kassationsårsag (ui),Stk. tøj per kassationsdato,Dage i cirkulation,Total antal vask,Unik Kode (ui),Måned,Vask per måned,Kategori
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2860,110,00D008FC4146,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1707692307692308,T-shirt
01589 T-shirt unisex mblå k/æ,Alm.slid uden restværdi,1,2815,94,00D0098006D4,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.01646891651865,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2758,97,00D00930E607,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0705873821609861,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2758,109,00D00979088E,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2030311820159538,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2749,111,00D009510D99,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2291160421971625,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,2728,119,00D009520622,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3278445747800587,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2715,101,00D009275AA6,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.132390423572744,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2694,104,00D0095245F6,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1751150705270972,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2687,99,00D00926FE98,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1215333085225159,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2687,112,00D0095ADF95,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2688053591365835,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2660,116,00D009511359,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3274586466165414,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2659,96,00D0094F9B9C,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0989996239187665,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2647,108,00D00951708D,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2419795995466567,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2627,90,00D009168E1B,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.04286258089075,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,2583,97,00D00972C6CB,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1431204026325978,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2577,98,00D0095A5A22,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1575941016686069,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2570,103,00D009415229,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.219968871595331,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2567,110,00D0095B3C63,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3044020257109468,T-shirt
