Produkt - Produkt,Kassationsårsag (ui),Stk. tøj per kassationsdato,Dage i cirkulation,Total antal vask,Unik Kode (ui),Måned,Vask per måned,Kategori
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1644,80,30155C97D461A7C001259ED4,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.4812652068126522,Bukser
14152 Benkl m/lom hvid low risk,Alm.slid uden restværdi,1,1643,132,30155C97D461A7C00132CCCA,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",2.44557516737675,Bukser
02809 Benklæder M/blå Elis Chauffør,Alm.slid uden restværdi,1,1639,89,30155C97D461A7C0004E8695,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.652934716290421,Bukser
02809 Benklæder M/blå Elis Chauffør,Alm.slid uden restværdi,1,1639,78,30155C97D461A7C000A55F7F,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.448639414276998,Bukser
23185 Benkl Cheans højtalj/u opsm,Alm.slid uden restværdi,1,1637,28,30155C97D461A7C000EB5AD8,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.5206597434331093,Bukser
23184 Benkl Cheans lavtalj/u opsm,Alm.slid uden restværdi,1,1636,43,30155C97D461A7C000776E6A,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.8000733496332518,Bukser
23185 Benkl Cheans højtalj/u opsm,Alm.slid uden restværdi,1,1636,70,30155C97D461A7C00109C83C,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3024449877750612,Bukser
01168 Kokbenkl Hr M/Lyn HV/So P/B,Alm.slid uden restværdi,1,1628,137,30155C97D461A7C000FE3D10,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",2.561597051597052,Bukser
01168 Kokbenkl Hr M/Lyn HV/So P/B,Alm.slid uden restværdi,1,1625,145,30155C97D461A7C000FE3E72,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",2.7161846153846154,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1624,18,30155C97D461A7C000DB019B,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.33738916256157636,Bukser
01168 Kokbenkl Hr M/Lyn HV/So P/B,Alm.slid uden restværdi,1,1621,125,30155C97D461A7C001C4F0C4,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",2.347316471314004,Bukser
11977 Benkl smøg op uni mlå pb,Alm.slid uden restværdi,1,1615,91,30155C97D461A7C000DE72E6,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.7151950464396286,Bukser
23190 Benkl Mind højtaljet m opsm,Alm.slid uden restværdi,1,1615,60,301588F8400000000017E76A,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1308978328173376,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1612,72,30155C97D461A7C000DB1C46,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3596029776674938,Bukser
01168 Kokbenkl Hr M/Lyn HV/So P/B,Alm.slid uden restværdi,1,1609,80,30155C97D461A7C000FDB2E2,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.5134866376631448,Bukser
01168 Kokbenkl Hr M/Lyn HV/So P/B,Alm.slid uden restværdi,1,1609,102,30155C97D461A7C000FE3BCF,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.9296954630205096,Bukser
01168 Kokbenkl Hr M/Lyn HV/So P/B,Alm.slid uden restværdi,1,1609,87,30155C97D461A7C000FE3C45,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.64591671845867,Bukser
01168 Kokbenkl Hr M/Lyn HV/So P/B,Alm.slid uden restværdi,1,1609,75,30155C97D461A7C000FE3DA9,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.4188937228091982,Bukser
01168 Kokbenkl Hr M/Lyn HV/So P/B,Alm.slid uden restværdi,1,1609,55,30155C97D461A7C000FE45CB,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.040522063393412,Bukser
01168 Kokbenkl Hr M/Lyn HV/So P/B,Alm.slid uden restværdi,1,1609,50,30155C97D461A7C000FE46CD,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.9459291485394655,Bukser
01168 Kokbenkl Hr M/Lyn HV/So P/B,Alm.slid uden restværdi,1,1609,93,30155C97D461A7C000FE4A6E,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.7594282162834058,Bukser
01168 Kokbenkl Hr M/Lyn HV/So P/B,Alm.slid uden restværdi,1,1608,130,30155C97D461A7C000FDB244,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",2.460945273631841,Bukser
01168 Kokbenkl Hr M/Lyn HV/So P/B,Alm.slid uden restværdi,1,1608,65,30155C97D461A7C000FDE650,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2304726368159205,Bukser
01168 Kokbenkl Hr M/Lyn HV/So P/B,Alm.slid uden restværdi,1,1608,74,30155C97D461A7C000FE3BA0,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.4008457711442786,Bukser
01168 Kokbenkl Hr M/Lyn HV/So P/B,Alm.slid uden restværdi,1,1608,101,30155C97D461A7C000FE4324,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.9119651741293535,Bukser
01168 Kokbenkl Hr M/Lyn HV/So P/B,Alm.slid uden restværdi,1,1608,72,30155C97D461A7C000FE43EB,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3629850746268657,Bukser
01168 Kokbenkl Hr M/Lyn HV/So P/B,Alm.slid uden restværdi,1,1608,12,30155C97D461A7C000FE471B,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.22716417910447761,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1600,75,30155C97D461A7C000F429D9,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.4268750000000001,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1594,88,30155C97D461A7C001386D12,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.6805018820577164,Bukser
09652 Benkl Prostretch Sort P/B,Alm.slid uden restværdi,1,1590,82,30155C97D461A7C001C70CB5,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.569861635220126,Bukser
09652 Benkl Prostretch Sort P/B,Alm.slid uden restværdi,1,1590,66,30155C97D461A7C001C70D58,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2635471698113208,Bukser
09652 Benkl Prostretch Sort P/B,Alm.slid uden restværdi,1,1590,65,30155C97D461A7C001C70D94,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2444025157232703,Bukser
05304 Benkl Hr 2Skrål 2Bagl HV P/B,Alm.slid uden restværdi,1,1588,60,30155C97D461A7C00177CC4E,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.150125944584383,Bukser
23186 Benkl Cheans pullon u opsmøg,Alm.slid uden restværdi,1,1588,68,30155C97D461A7C000C77638,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3034760705289674,Bukser
23186 Benkl Cheans pullon u opsmøg,Alm.slid uden restværdi,1,1583,38,30155C97D461A7C0011C97A2,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.730713834491472,Bukser
09652 Benkl Prostretch Sort P/B,Alm.slid uden restværdi,1,1581,69,30155C97D461A7C001C70DA7,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3285009487666033,Bukser
23186 Benkl Cheans pullon u opsmøg,Alm.slid uden restværdi,1,1577,13,30155C97D461A7C0011A5C85,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.2509321496512365,Bukser
12143 Pull on let buks opsmøg mblå,Alm.slid uden restværdi,1,1570,72,30155C97D461A7C00161AF83,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3959745222929936,Bukser
11977 Benkl smøg op uni mlå pb,Alm.slid uden restværdi,1,1568,37,30155C97D461A7C00109C662,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.7182908163265306,Bukser
23186 Benkl Cheans pullon u opsmøg,Alm.slid uden restværdi,1,1566,43,30155C97D461A7C000F7C9D7,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.8358365261813538,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1556,54,30155C97D461A7C001386780,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.056401028277635,Bukser
08115 Benklæder Navy Crinkle Bom,Alm.slid uden restværdi,1,1554,30,30155C97D461A7C000C1D257,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.5876447876447877,Bukser
22487 Benkl Cheans da dark blue pb,Alm.slid uden restværdi,1,1554,29,300ED89F3350005FE252C88F,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.568056628056628,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1554,52,30155C97D461A7C0013868F5,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0185842985842986,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1549,55,30155C97D461A7C001386766,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0808263395739188,Bukser
01168 Kokbenkl Hr M/Lyn HV/So P/B,Alm.slid uden restværdi,1,1546,79,30155C97D461A7C0014432FE,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.5554721862871927,Bukser
03588 Benkl Dame M/Ela Sort P/B,Alm.slid uden restværdi,1,1545,102,30155C97D461A7C00179170B,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",2.0096310679611653,Bukser
03588 Benkl Dame M/Ela Sort P/B,Alm.slid uden restværdi,1,1545,104,30155C97D461A7C001791711,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",2.049035598705502,Bukser
03588 Benkl Dame M/Ela Sort P/B,Alm.slid uden restværdi,1,1545,79,30155C97D461A7C001791722,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.5564789644012946,Bukser
03588 Benkl Dame M/Ela Sort P/B,Alm.slid uden restværdi,1,1545,63,30155C97D461A7C00179174C,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.241242718446602,Bukser
03588 Benkl Dame M/Ela Sort P/B,Alm.slid uden restværdi,1,1545,93,30155C97D461A7C001791771,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.8323106796116506,Bukser
03588 Benkl Dame M/Ela Sort P/B,Alm.slid uden restværdi,1,1545,62,30155C97D461A7C0017917A4,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2215404530744338,Bukser
03588 Benkl Dame M/Ela Sort P/B,Alm.slid uden restværdi,1,1545,71,30155C97D461A7C0017917A7,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3988608414239483,Bukser
23362 Bukser Food Kblå,Alm.slid uden restværdi,1,1545,13,30155C97D461A7C00139963A,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.25612944983818775,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1537,70,30155C97D461A7C0011E7CD9,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3863370201691607,Bukser
23185 Benkl Cheans højtalj/u opsm,Alm.slid uden restværdi,1,1530,22,30155C97D461A7C0011A6861,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.43769934640522873,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1522,75,30155C97D461A7C0012A449C,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.5,Bukser
23184 Benkl Cheans lavtalj/u opsm,Alm.slid uden restværdi,1,1521,8,30155C97D461A7C000776E34,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.1601051939513478,Bukser
23186 Benkl Cheans pullon u opsmøg,Alm.slid uden restværdi,1,1521,40,30155C97D461A7C000F7CA84,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.8005259697567391,Bukser
22487 Benkl Cheans da dark blue pb,Alm.slid uden restværdi,1,1516,28,300ED89F3350007FE25B16CC,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.5622163588390502,Bukser
23185 Benkl Cheans højtalj/u opsm,Alm.slid uden restværdi,1,1514,74,30155C97D461A7C000EB7B39,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.4878203434610304,Bukser
23192 Benkl Mind uni m opsmøg,Alm.slid uden restværdi,1,1510,80,30155C97D461A7C000F428B0,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.6127152317880795,Bukser
03733 Benklæde Sort/Hvid Strib P/B,Alm.slid uden restværdi,1,1506,63,30155C97D461A7C002045CE6,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.273386454183267,Bukser
03733 Benklæde Sort/Hvid Strib P/B,Alm.slid uden restværdi,1,1506,61,30155C97D461A7C002045D07,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2329614873837982,Bukser
01168 Kokbenkl Hr M/Lyn HV/So P/B,Alm.slid uden restværdi,1,1504,80,30155C97D461A7C000FE4270,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.619148936170213,Bukser
12143 Pull on let buks opsmøg mblå,Alm.slid uden restværdi,1,1500,89,30155C97D461A7C00148AC16,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.8061066666666667,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1499,46,30155C97D461A7C0012224DF,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.9341160773849233,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1499,53,30155C97D461A7C001222526,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0762641761174117,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1497,97,30155C97D461A7C000F44B6E,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.9723981295925186,Bukser
23186 Benkl Cheans pullon u opsmøg,Alm.slid uden restværdi,1,1494,49,30155C97D461A7C0011C82E8,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.9983668005354752,Bukser
23186 Benkl Cheans pullon u opsmøg,Alm.slid uden restværdi,1,1494,38,30155C97D461A7C0011C83FF,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.7742436412315931,Bukser
23186 Benkl Cheans pullon u opsmøg,Alm.slid uden restværdi,1,1494,50,30155C97D461A7C0011C842C,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0187416331994645,Bukser
23186 Benkl Cheans pullon u opsmøg,Alm.slid uden restværdi,1,1494,50,30155C97D461A7C0011C8457,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0187416331994645,Bukser
23186 Benkl Cheans pullon u opsmøg,Alm.slid uden restværdi,1,1494,47,30155C97D461A7C0011C8479,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.9576171352074968,Bukser
05304 Benkl Hr 2Skrål 2Bagl HV P/B,Alm.slid uden restværdi,1,1493,79,30155C97D461A7C0017DD9E3,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.610689886135298,Bukser
01168 Kokbenkl Hr M/Lyn HV/So P/B,Alm.slid uden restværdi,1,1490,32,30155C97D461A7C0013E2453,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.653744966442953,Bukser
23186 Benkl Cheans pullon u opsmøg,Alm.slid uden restværdi,1,1490,43,30155C97D461A7C000F7CB24,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.8784697986577182,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1490,18,30155C97D461A7C001295CD1,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.36773154362416105,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1490,61,30155C97D461A7C0016AD9BD,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2462013422818792,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1484,63,30155C97D461A7C0016AD19B,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2922641509433963,Bukser
23190 Benkl Mind højtaljet m opsm,Alm.slid uden restværdi,1,1483,73,30155C97D461A7C000EF1CA2,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.4983951449763993,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1482,57,30155C97D461A7C001222545,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1707692307692308,Bukser
13907 Unisexben Lårl & Toml sort,Alm.slid uden restværdi,1,1472,51,30155C97D461A7C00158E7A0,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0546467391304348,Bukser
23185 Benkl Cheans højtalj/u opsm,Alm.slid uden restværdi,1,1472,10,30155C97D461A7C00109C7B1,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.20679347826086958,Bukser
23190 Benkl Mind højtaljet m opsm,Alm.slid uden restværdi,1,1469,16,30155C97D461A7C000EED3E2,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.33154526889040165,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1467,78,30155C97D461A7C001295D3B,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.6184867075664622,Bukser
12143 Pull on let buks opsmøg mblå,Alm.slid uden restværdi,1,1465,83,30155C97D461A7C0011281AA,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.7245870307167237,Bukser
23186 Benkl Cheans pullon u opsmøg,Alm.slid uden restværdi,1,1465,50,30155C97D461A7C0011C8401,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0389078498293516,Bukser
23186 Benkl Cheans pullon u opsmøg,Alm.slid uden restværdi,1,1465,34,30155C97D461A7C0011C844A,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.7064573378839591,Bukser
23186 Benkl Cheans pullon u opsmøg,Alm.slid uden restværdi,1,1465,51,30155C97D461A7C0011C8474,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0596860068259386,Bukser
22486 Benk Cheans flex uni blue pb,Alm.slid uden restværdi,1,1464,55,30155C97D461A7C000A8978B,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1435792349726777,Bukser
22486 Benk Cheans flex uni blue pb,Alm.slid uden restværdi,1,1453,84,300ED89F3350004001770AE8,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.7597797660013765,Bukser
22486 Benk Cheans flex uni blue pb,Alm.slid uden restværdi,1,1453,77,300ED89F3350004001771064,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.6131314521679283,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1452,22,30155C97D461A7C00125A1E4,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.46121212121212124,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1452,57,30155C97D461A7C00125A298,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1949586776859504,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1441,75,30155C97D461A7C001295E3A,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.5843164469118667,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1438,91,30155C97D461A7C001295E0F,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.9263143254520165,Bukser
14152 Benkl m/lom hvid low risk,Alm.slid uden restværdi,1,1437,111,30155C97D461A7C0017CD45A,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",2.3513152400835073,Bukser
22486 Benk Cheans flex uni blue pb,Alm.slid uden restværdi,1,1432,37,300ED89F3350007FE268030F,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.7865083798882682,Bukser
23190 Benkl Mind højtaljet m opsm,Alm.slid uden restværdi,1,1429,22,30155C97D461A7C000F60676,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.46863540937718684,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1429,88,30155C97D461A7C001295D72,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.8745416375087474,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1429,81,30155C97D461A7C001295E6D,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.7254303708887335,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1429,47,30155C97D461A7C001C835FB,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0011756473058082,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1429,72,30155C97D461A7C001C8360A,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.5337158852344297,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1428,92,30155C97D461A7C001295D06,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.9611204481792717,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1428,82,30155C97D461A7C001295D29,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.7479551820728292,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1421,64,30155C97D461A7C001295DB1,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.370978184377199,Bukser
12143 Pull on let buks opsmøg mblå,Alm.slid uden restværdi,1,1418,84,30155C97D461A7C000715DFC,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.8032157968970381,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1418,47,30155C97D461A7C0016AD299,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0089421720733427,Bukser
01168 Kokbenkl Hr M/Lyn HV/So P/B,Alm.slid uden restværdi,1,1417,56,30155C97D461A7C000FDDFCF,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2029922371206776,Bukser
14152 Benkl m/lom hvid low risk,Alm.slid uden restværdi,1,1409,39,30155C97D461A7C0017DD29F,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.842555003548616,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1405,77,30155C97D461A7C001295D33,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.6682419928825625,Bukser
12184 Benkl da monroe hv harmony,Alm.slid uden restværdi,1,1400,44,30155C97D461A7C001C5DB1A,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.9566857142857144,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1400,13,30155C97D461A7C0016AD970,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.2826571428571429,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1400,69,30155C97D461A7C0016ADAC4,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.500257142857143,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1399,17,30155C97D461A7C0016ADA43,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.3698927805575411,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1389,65,30155C97D461A7C0016AD9C8,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.4244780417566596,Bukser
23362 Bukser Food Kblå,Alm.slid uden restværdi,1,1389,51,30155C97D461A7C001DCDE4E,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1176673866090714,Bukser
10530 Benkl. Vente marine pb,Alm.slid uden restværdi,1,1379,16,30155C97D461A7C001F0D106,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.353183466279913,Bukser
03664 Benklæder Herre Sort P/B,Alm.slid uden restværdi,1,1378,52,30155C97D461A7C0007B5556,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1486792452830188,Bukser
00100 Unisexben Lårl & Toml Mblåpb,Alm.slid uden restværdi,1,1372,114,30155C97D461A7C0022455D9,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",2.5292711370262393,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1371,74,30155C97D461A7C001C8359B,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.6430051057622175,Bukser
22487 Benkl Cheans da dark blue pb,Alm.slid uden restværdi,1,1369,21,300ED89F3350005FE252C000,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.46693937180423667,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1369,79,30155C97D461A7C001294927,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.7565814463111762,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1369,70,30155C97D461A7C001294A24,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.556464572680789,Bukser
13907 Unisexben Lårl & Toml sort,Alm.slid uden restværdi,1,1368,70,30155C97D461A7C0021CB1C6,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.5576023391812865,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1365,75,30155C97D461A7C0016ADA7A,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.6725274725274726,Bukser
22704 kokkebenkl uni m/ela sort,Alm.slid uden restværdi,1,1361,11,30155C97D461A7C001F0D3A4,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.24602498163115358,Bukser
23191 Benkl Mind pullon m opsmøg,Alm.slid uden restværdi,1,1360,53,30155C97D461A7C001295D5B,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.186264705882353,Bukser
13907 Unisexben Lårl & Toml sort,Alm.slid uden restværdi,1,1356,81,30155C97D461A7C0017F5506,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.8183185840707967,Bukser
